frame_idx,person_id,x,y,w,h,gender,upper_color,lower_color,hat,glasses,backpack
72,25,470,156,45,184,Male,Black,Black,0,0,0
73,25,468,155,48,194,Male,Black,Black,0,0,0
74,25,467,154,49,201,Male,Black,Black,0,0,0
75,25,465,152,52,211,Male,Black,Black,0,0,0
76,25,464,151,52,213,Male,Black,Black,0,0,0
77,25,464,150,51,211,Male,Black,Black,0,0,0
78,25,464,150,51,211,Male,Black,Black,0,0,0
79,25,464,151,50,204,Male,Black,Black,0,0,0
80,25,464,151,49,199,Male,Black,Black,0,0,0
81,25,464,151,47,190,Male,Black,Black,0,0,0
85,25,458,150,52,211,Male,Black,Black,0,0,0
86,25,456,150,53,216,Male,Black,Black,0,0,0
88,25,456,150,52,211,Male,Black,Black,0,0,0
89,25,456,149,52,207,Male,Black,Black,0,0,0
93,25,452,147,51,200,Male,Black,Black,0,0,0
94,25,452,147,51,198,Male,Black,Black,0,0,0
95,25,450,146,53,208,Male,Black,Black,0,0,0
96,25,449,147,54,212,Male,Black,Black,0,0,0
97,25,450,147,54,208,Male,Black,Black,0,0,0
98,25,451,146,52,201,Male,Black,Black,0,0,0
99,25,450,147,55,206,Male,Black,Black,0,0,0
100,25,449,147,57,215,Male,Black,Black,0,0,0
101,25,447,146,60,221,Male,Black,Black,0,0,0
102,25,446,146,61,224,Male,Black,Black,0,0,0
103,25,445,145,62,227,Male,Black,Black,0,0,0
104,25,445,144,63,227,Male,Black,Black,0,0,0
105,25,446,144,61,221,Male,Black,Black,0,0,0
107,25,446,142,61,220,Male,Black,Black,0,0,0
108,25,446,140,61,221,Male,Black,Black,0,0,0
109,25,445,139,62,220,Male,Black,Black,0,0,0
110,25,445,138,62,220,Male,Black,Black,0,0,0
111,25,445,138,62,221,Male,Black,Black,0,0,0
112,25,445,138,62,221,Male,Black,Black,0,0,0
113,25,445,138,62,219,Male,Black,Black,0,0,0
114,25,446,139,61,215,Male,Black,Black,0,0,0
389,66,920,117,85,141,Male,Blue,Black,0,1,0
394,66,930,120,84,139,Male,Blue,Black,0,1,0
397,66,933,118,88,143,Male,Blue,Black,0,1,0
398,66,936,117,89,143,Male,Blue,Black,0,1,0
399,66,940,115,90,144,Male,Blue,Black,0,1,0
400,66,943,113,91,143,Male,Blue,Black,0,1,0
404,66,973,116,103,168,Male,Blue,Black,0,1,0
405,66,978,118,100,167,Male,Blue,Black,0,1,0
406,66,985,118,89,152,Male,Blue,Black,0,1,0
412,70,333,158,35,120,Female,Black,Black,0,0,0
413,70,333,158,35,119,Female,Black,Black,0,0,0
414,70,333,158,35,119,Female,Black,Black,0,0,0
415,70,334,158,35,119,Female,Black,Black,0,0,0
416,70,336,161,33,115,Female,Black,Black,0,0,0
417,70,336,161,34,116,Female,Black,Black,0,0,0
417,71,892,105,119,178,Female,Green,Black,0,1,0
418,70,338,163,33,113,Female,Black,Black,0,0,0
418,71,814,104,273,413,Female,Green,Black,0,1,0
419,70,341,169,32,106,Female,Black,Black,0,0,0
419,71,788,103,330,508,Female,Green,Black,0,1,0
420,70,342,170,32,105,Female,Black,Black,0,0,0
421,70,344,172,32,102,Female,Black,Black,0,0,0
