frame_idx,track_id,x,y,w,h,conf
0,1,7,128,320,746,0.9159823060035706
0,2,1367,129,335,766,0.896901547908783
0,3,367,53,380,861,0.8954638838768005
0,4,1096,132,173,477,0.862036943435669
0,5,298,152,117,331,0.8171209692955017
0,6,890,157,93,292,0.7103736400604248
1,1,12,132,317,735,0.9098021984100342
1,2,1367,126,338,775,0.9019132852554321
1,3,366,53,380,860,0.8965002298355103
1,4,1096,131,174,478,0.8449392914772034
1,5,294,152,117,333,0.7766361832618713
1,6,889,154,92,289,0.6336051225662231
2,1,23,130,315,732,0.9105250239372253
2,2,1367,125,338,775,0.9001891613006592
2,3,367,56,377,855,0.9023102521896362
2,4,1094,128,174,479,0.7799128293991089
2,5,294,152,115,328,0.7054023742675781
2,6,891,152,92,288,0.6536625027656555
3,1,31,130,314,729,0.9121166467666626
3,2,1367,125,339,778,0.8986999988555908
3,3,368,58,375,850,0.9054219126701355
3,4,1092,125,175,482,0.7874064445495605
3,5,291,150,114,326,0.5610792636871338
3,6,890,149,92,288,0.6729797124862671
3,7,765,138,131,302,0.6731285452842712
4,1,38,123,316,733,0.913662850856781
4,2,1369,124,340,780,0.899259090423584
4,3,367,60,374,846,0.9012200236320496
4,4,1089,124,176,485,0.7970039248466492
4,6,889,146,93,290,0.7044457793235779
4,7,764,137,132,304,0.6539790034294128
5,1,44,114,317,739,0.905543863773346
5,2,1369,125,340,781,0.8861340880393982
5,3,364,61,373,843,0.8650277853012085
5,4,1089,124,175,485,0.808493435382843
5,6,889,147,93,289,0.6788015365600586
5,7,768,150,126,290,0.5797877311706543
5,5,298,147,94,265,0.46568626165390015
6,1,50,109,314,733,0.8972829580307007
6,2,1369,126,342,787,0.8882548809051514
6,3,362,62,371,839,0.880767822265625
6,4,1087,124,174,486,0.8032791614532471
6,6,889,147,93,288,0.6611205339431763
6,7,774,174,116,267,0.5094358921051025
6,8,997,140,71,211,0.46082669496536255
7,1,57,108,310,722,0.8899814486503601
7,2,1369,128,342,790,0.8767798542976379
7,3,362,62,369,835,0.8956747055053711
7,4,1086,126,172,482,0.7704538702964783
7,6,887,147,92,288,0.6375799775123596
7,7,761,143,130,298,0.5801607370376587
7,8,998,141,71,210,0.46033456921577454
8,1,63,106,307,716,0.8823977708816528
8,2,1369,130,342,790,0.871573269367218
8,3,359,61,368,834,0.8986974358558655
8,4,1085,127,173,485,0.7794543504714966
8,6,885,146,93,288,0.6392389535903931
8,7,757,137,131,303,0.5981974005699158
8,8,997,142,70,212,0.5065719485282898
9,1,69,106,305,711,0.8743211627006531
9,2,1370,130,341,790,0.8797813653945923
9,3,357,59,365,832,0.8965916037559509
9,4,1086,129,173,486,0.7750974297523499
9,6,885,145,94,291,0.669748067855835
9,7,754,132,134,309,0.5877488851547241
9,8,995,142,71,213,0.5184527635574341
10,1,75,105,305,713,0.8617538213729858
10,2,1372,130,340,791,0.8645952343940735
10,3,355,56,360,827,0.8857933282852173
10,4,1087,130,173,488,0.796320915222168
10,6,886,146,95,291,0.6695761680603027
10,7,752,132,135,311,0.5058662295341492
10,8,996,142,70,211,0.5083674192428589
11,1,88,106,302,713,0.8499361276626587
11,2,1374,129,340,794,0.8710611462593079
11,3,357,54,354,821,0.9028156995773315
11,4,1087,131,174,490,0.8065393567085266
11,6,888,147,95,291,0.691977858543396
11,7,752,132,135,312,0.5795410871505737
11,8,997,143,70,209,0.4576404094696045
12,1,91,108,300,712,0.853396475315094
12,2,1377,127,341,797,0.8745411038398743
12,3,357,52,349,819,0.9004871845245361
12,4,1087,131,175,491,0.803286075592041
12,6,890,146,96,294,0.7065514326095581
12,7,751,136,134,310,0.6410744190216064
13,1,99,109,298,714,0.8596145510673523
13,2,1378,126,342,798,0.8692580461502075
13,3,355,51,344,819,0.8886361718177795
13,4,1085,130,176,495,0.8337581157684326
13,6,891,145,97,296,0.7401379346847534
13,7,752,140,132,305,0.5616269111633301
13,8,999,145,69,210,0.4836650788784027
14,1,100,113,297,713,0.8677084445953369
14,2,1379,126,343,799,0.8951842784881592
14,3,354,52,338,817,0.8697306513786316
14,4,1085,130,178,499,0.8336077332496643
14,6,893,146,97,298,0.7251584529876709
14,7,753,140,130,299,0.4954760670661926
15,1,101,117,296,710,0.8769122958183289
15,2,1382,126,344,800,0.9092791080474854
15,3,353,52,333,820,0.8731548190116882
15,4,1086,131,179,501,0.8379132747650146
15,6,894,147,97,299,0.7009096145629883
16,1,104,121,293,706,0.8809922933578491
16,2,1384,126,346,801,0.9038639068603516
16,3,353,54,327,819,0.8787370920181274
16,4,1086,131,179,501,0.8294618129730225
16,6,895,150,96,297,0.6967874765396118
17,1,107,125,290,697,0.8762884736061096
17,2,1387,125,347,803,0.9061006307601929
17,3,354,55,322,818,0.8776549696922302
17,4,1086,130,179,500,0.8282378911972046
17,6,895,150,97,298,0.7345805168151855
18,1,111,128,286,689,0.8791763186454773
18,2,1389,124,351,809,0.913635790348053
18,3,361,59,314,812,0.8797783255577087
18,4,1085,128,181,502,0.8429880738258362
18,6,896,150,98,300,0.7148736715316772
18,7,756,149,121,277,0.49272316694259644
19,1,116,131,284,685,0.8840604424476624
19,2,1391,125,354,815,0.9073375463485718
19,3,366,61,309,809,0.88234943151474
19,4,1084,128,182,504,0.8480905890464783
19,6,897,150,97,301,0.6863131523132324
19,7,757,144,122,278,0.49122050404548645
20,1,123,132,282,683,0.8758844137191772
20,2,1393,127,356,819,0.9078615307807922
20,3,371,63,302,805,0.8730202317237854
20,4,1083,130,181,503,0.8510705828666687
20,6,897,150,97,301,0.664879322052002
21,1,127,132,281,682,0.8957791328430176
21,2,1393,127,357,823,0.9061177372932434
21,3,375,66,297,801,0.8785364031791687
21,4,1081,132,182,503,0.8740173578262329
21,6,896,150,97,301,0.7048512697219849
